model,set_id,category,title,id,tokenization_type,token_count,char_count,info_density,entropy,normalized_entropy,performance
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,english_with_turkish_word,62,254,4.096774193548387,5.496703923667515,0.9739269993495204,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,61,254,4.163934426229508,5.498531960897306,0.9742508979692448,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,39,209,5.358974358974359,5.0289919624519905,0.9885068686253091,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,turkish_morpheme_split,41,219,5.341463414634147,5.16243005339857,0.9909734651737874,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,37,209,5.648648648648648,4.993237149412737,0.9898586492777407,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,37,209,5.648648648648648,4.993237149412737,0.9898586492777407,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,english_with_turkish_word,44,222,5.045454545454546,5.141249800455478,0.9869077309294163,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,42,222,5.285714285714286,5.106603137064477,0.9877518795030548,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,63,241,3.8253968253968256,5.54681301113859,0.9730500251561996,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,turkish_morpheme_split,65,251,3.8615384615384616,5.635915267201323,0.9748425191424968,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,62,241,3.8870967741935485,5.5490444478261685,0.9734414750789973,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,61,241,3.9508196721311477,5.518943641189708,0.9729424908167335,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,english_with_turkish_word,62,254,4.096774193548387,5.496703923667515,0.9739269993495204,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,61,254,4.163934426229508,5.498531960897306,0.9742508979692448,1.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q1,basic_question,42,192,4.571428571428571,4.859828661431136,0.9634117688744768,1.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q2,basic_question,44,193,4.386363636363637,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q3,french_sentence_standard,53,216,4.0754716981132075,5.230476530476398,0.969986764573855,1.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q4,french_sentence_ligature,53,214,4.037735849056604,5.230476530476398,0.969986764573855,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q1,basic_question,24,160,6.666666666666667,4.251629167387823,0.9837343597681091,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q2,basic_question,26,161,6.1923076923076925,4.3927474104487825,0.9850464781408865,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q3,french_sentence_standard,35,184,5.257142857142857,4.786425874087821,0.9852706049876443,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q4,french_sentence_ligature,35,182,5.2,4.786425874087821,0.9852706049876443,1.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q1,basic_question,42,192,4.571428571428571,4.859828661431136,0.9634117688744768,1.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q2,basic_question,44,193,4.386363636363637,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q3,french_sentence_standard,53,216,4.0754716981132075,5.230476530476398,0.969986764573855,1.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q4,french_sentence_ligature,53,214,4.037735849056604,5.230476530476398,0.969986764573855,1.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,48,220,4.583333333333333,4.936641344913581,0.9624427680447776,1.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,48,220,4.583333333333333,4.936641344913581,0.9624427680447776,1.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q3,turkish_with_diacritics,53,227,4.283018867924528,5.178497521001616,0.9665790488898425,1.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,58,227,3.913793103448276,5.321439348941989,0.9689697185269619,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,30,188,6.266666666666667,4.506890595608519,0.9829721824114468,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,30,188,6.266666666666667,4.506890595608519,0.9829721824114468,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q3,turkish_with_diacritics,34,195,5.735294117647059,4.73452166477975,0.9848496192898776,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,38,195,5.131578947368421,4.879506460812008,0.9849239220863587,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,48,220,4.583333333333333,4.936641344913581,0.9624427680447776,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,48,220,4.583333333333333,4.936641344913581,0.9624427680447776,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q3,turkish_with_diacritics,53,227,4.283018867924528,5.178497521001616,0.9665790488898425,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,58,227,3.913793103448276,5.321439348941989,0.9689697185269619,0.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,66,266,4.03030303030303,5.633493884831737,0.9744236933835804,1.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,64,272,4.25,5.576259133144316,0.9735224463010724,1.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q3,english_with_german_compound,64,276,4.3125,5.576259133144316,0.9735224463010724,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,48,234,4.875,5.376629167387827,0.9908527155312022,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,46,240,5.217391304347826,5.306170651709184,0.9904095465868348,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q3,english_with_german_compound,46,244,5.304347826086956,5.306170651709184,0.9904095465868348,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,66,266,4.03030303030303,5.633493884831737,0.9744236933835804,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,64,272,4.25,5.576259133144316,0.9735224463010724,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q3,english_with_german_compound,64,276,4.3125,5.576259133144316,0.9735224463010724,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,44,175,3.977272727272727,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,character_split_chinese,78,198,2.5384615384615383,5.660670732282758,0.9663177017800282,1.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,pinyin_no_tones,65,237,3.646153846153846,5.512838344124399,0.97186617923972,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,78,237,3.0384615384615383,5.748552180645238,0.9731942868417104,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,29,143,4.931034482758621,4.582118926162055,0.9867056039012129,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,character_split_chinese,39,166,4.256410256410256,4.977709911169939,0.9867805316930718,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,pinyin_no_tones,47,205,4.361702127659575,5.214163319762746,0.9865215746787881,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,61,205,3.360655737704918,5.524919509658565,0.9840080187668553,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,44,175,3.977272727272727,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,character_split_chinese,78,198,2.5384615384615383,5.660670732282758,0.9663177017800282,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,pinyin_no_tones,65,237,3.646153846153846,5.512838344124399,0.97186617923972,0.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,78,237,3.0384615384615383,5.748552180645238,0.9731942868417104,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,96,232,2.4166666666666665,5.018936132507993,0.9138875429610922,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,43,199,4.627906976744186,4.749069045893638,0.9585952490289553,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,arabic_transliterated,57,226,3.9649122807017543,5.181672198747831,0.9671716101460801,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,44,230,5.2272727272727275,4.797626721392666,0.9595253442785332,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,61,200,3.278688524590164,5.059927247747085,0.9712971578038472,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,26,167,6.423076923076923,4.238901256602629,0.9807893985133741,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,arabic_transliterated,39,194,4.9743589743589745,4.772581706041735,0.9824208268473076,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,26,198,7.615384615384615,4.238901256602629,0.9807893985133741,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,96,232,2.4166666666666665,5.018936132507993,0.9138875429610922,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,43,199,4.627906976744186,4.749069045893638,0.9585952490289553,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,arabic_transliterated,57,226,3.9649122807017543,5.181672198747831,0.9671716101460801,0.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,44,230,5.2272727272727275,4.797626721392666,0.9595253442785332,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,53,222,4.188679245283019,5.140761671945013,0.9659584985531106,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q2,russian_transliterated,61,227,3.721311475409836,5.342634010006699,0.9672443348169721,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,54,222,4.111111111111111,5.17860203033451,0.966598555808824,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,67,289,4.313432835820896,5.560502578802138,0.9707716129982766,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,36,190,5.277777777777778,4.725480556997866,0.982968936892079,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q2,russian_transliterated,43,195,4.534883720930233,4.990104580233179,0.9808631013031179,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,37,190,5.135135135135135,4.77702093319652,0.9833346276956925,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,49,257,5.244897959183674,5.272773364479219,0.9841758623965222,0.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,53,222,4.188679245283019,5.140761671945013,0.9659584985531106,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q2,russian_transliterated,61,227,3.721311475409836,5.342634010006699,0.9672443348169721,0.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,54,222,4.111111111111111,5.17860203033451,0.966598555808824,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,67,289,4.313432835820896,5.560502578802138,0.9707716129982766,1.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,original,61,235,3.8524590163934427,5.322222329714298,0.9635489512121919,1.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,split_shortened,44,198,4.5,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q3,abbreviated,39,188,4.82051282051282,4.711952783564804,0.960272639414831,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,original,42,203,4.833333333333333,4.963745994207334,0.9756820146105284,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,split_shortened,26,166,6.384615384615385,4.3927474104487825,0.9850464781408865,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q3,abbreviated,21,156,7.428571428571429,4.011365041826378,0.981382632116924,1.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,original,61,235,3.8524590163934427,5.322222329714298,0.9635489512121919,1.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,split_shortened,44,198,4.5,4.951146891896381,0.9652707552965787,1.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q3,abbreviated,39,188,4.82051282051282,4.711952783564804,0.960272639414831,1.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,56,189,3.375,5.1222740653326015,0.9691360947048676,1.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,59,197,3.3389830508474576,5.2323968124703075,0.9703428789943076,1.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,japanese_romaji,68,239,3.514705882352941,5.365118495974402,0.9713149845438294,1.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,85,207,2.4352941176470586,5.275058279883462,0.9395068358540849,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,37,157,4.243243243243243,4.560804716980304,0.9821158387769864,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,41,165,4.024390243902439,4.820966638764424,0.982489123168755,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,japanese_romaji,48,207,4.3125,4.95996250072116,0.983262287474074,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,51,175,3.4313725490196076,4.817334352276657,0.9723745387676149,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,56,189,3.375,5.1222740653326015,0.9691360947048676,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,59,197,3.3389830508474576,5.2323968124703075,0.9703428789943076,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,japanese_romaji,68,239,3.514705882352941,5.365118495974402,0.9713149845438294,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,85,207,2.4352941176470586,5.275058279883462,0.9395068358540849,1.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,bengali_standard,108,218,2.0185185185185186,5.186795161874965,0.9287072493692163,1.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,bengali_split,113,223,1.9734513274336283,5.140617458505271,0.9155624424462762,1.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,bengali_transliterated,63,230,3.6507936507936507,5.090386225389961,0.9631029039235036,0.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q4,english_translation,49,238,4.857142857142857,4.73472177312003,0.9556992651246583,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,bengali_standard,103,186,1.8058252427184467,4.526815510863233,0.8973952874718983,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,bengali_split,105,191,1.819047619047619,4.54948147055995,0.894253503666246,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,bengali_transliterated,45,198,4.4,4.630633374059374,0.9738681245250159,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q4,english_translation,31,206,6.645161290322581,4.11548663296752,0.9688222362418086,1.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,bengali_standard,108,218,2.0185185185185186,5.186795161874965,0.9287072493692163,1.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,bengali_split,113,223,1.9734513274336283,5.140617458505271,0.9155624424462762,1.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,bengali_transliterated,63,230,3.6507936507936507,5.090386225389961,0.9631029039235036,1.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q4,english_translation,49,238,4.857142857142857,4.73472177312003,0.9556992651246583,1.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,swahili_standard,68,240,3.5294117647058822,5.302402870878956,0.9655034062041222,1.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,swahili_morpheme_split,68,246,3.6176470588235294,5.302402870878956,0.9655034062041222,1.0
