model,set_id,category,title,id,tokenization_type,baseline_variant,variant_tokens,baseline_tokens,token_ratio,variant_perf,baseline_perf,perf_delta
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,scientific_notation,26_Q4,34,28,1.2142857142857142,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,no_separators,26_Q2,50,54,0.9259259259259259,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,scientific_notation,26_Q2,54,54,1.0,0.0,1.0,-1.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q4,computer_scientific_notation,26_Q2,46,54,0.8518518518518519,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,period_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,comma_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q4,space_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,period_decimal,27_Q3,23,23,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,comma_decimal,27_Q3,23,23,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q4,space_decimal,27_Q3,23,23,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,period_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,comma_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q4,space_decimal,27_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,31,Number Formatting,Financial Values,31_Q1,no_separators,31_Q2,57,59,0.9661016949152542,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,31,Number Formatting,Financial Values,31_Q3,european_separators,31_Q2,59,59,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,31,Number Formatting,Financial Values,31_Q4,abbreviated_notation,31_Q2,52,59,0.8813559322033898,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,31,Number Formatting,Financial Values,31_Q1,no_separators,31_Q2,35,37,0.9459459459459459,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,31,Number Formatting,Financial Values,31_Q3,european_separators,31_Q2,37,37,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,31,Number Formatting,Financial Values,31_Q4,abbreviated_notation,31_Q2,34,37,0.918918918918919,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,31,Number Formatting,Financial Values,31_Q1,no_separators,31_Q2,57,59,0.9661016949152542,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,31,Number Formatting,Financial Values,31_Q3,european_separators,31_Q2,59,59,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,31,Number Formatting,Financial Values,31_Q4,abbreviated_notation,31_Q2,52,59,0.8813559322033898,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q1,slash_notation,32_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q2,unicode_fraction,32_Q3,41,44,0.9318181818181818,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q4,parentheses_fraction,32_Q3,46,44,1.0454545454545454,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q1,slash_notation,32_Q3,26,26,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q2,unicode_fraction,32_Q3,23,26,0.8846153846153846,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q4,parentheses_fraction,32_Q3,28,26,1.0769230769230769,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q1,slash_notation,32_Q3,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q2,unicode_fraction,32_Q3,41,44,0.9318181818181818,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,32,Mathematical Expressions,Fraction Notation,32_Q4,parentheses_fraction,32_Q3,46,44,1.0454545454545454,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q1,uppercase_hex,33_Q4,42,42,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q2,lowercase_hex,33_Q4,42,42,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q3,c_style_hex,33_Q4,44,42,1.0476190476190477,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q1,uppercase_hex,33_Q4,24,24,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q2,lowercase_hex,33_Q4,24,24,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q3,c_style_hex,33_Q4,26,24,1.0833333333333333,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q1,uppercase_hex,33_Q4,42,42,1.0,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q2,lowercase_hex,33_Q4,42,42,1.0,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,33,Number Formatting,Hexadecimal Numbers,33_Q3,c_style_hex,33_Q4,44,42,1.0476190476190477,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q1,bracket_notation,34_Q2,49,59,0.8305084745762712,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q3,pipe_notation,34_Q2,49,59,0.8305084745762712,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q4,subscript_notation,34_Q2,66,59,1.11864406779661,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q1,bracket_notation,34_Q2,31,41,0.7560975609756098,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q3,pipe_notation,34_Q2,31,41,0.7560975609756098,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q4,subscript_notation,34_Q2,44,41,1.0731707317073171,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q1,bracket_notation,34_Q2,49,59,0.8305084745762712,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q3,pipe_notation,34_Q2,49,59,0.8305084745762712,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,34,Mathematical Expressions,Matrix Notation,34_Q4,subscript_notation,34_Q2,66,59,1.11864406779661,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,6,Compound Words,Healthcare,6_Q1,single_word,6_Q2,43,44,0.9772727272727273,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,6,Compound Words,Healthcare,6_Q3,hyphenated,6_Q2,44,44,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,6,Compound Words,Healthcare,6_Q1,single_word,6_Q2,25,26,0.9615384615384616,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,6,Compound Words,Healthcare,6_Q3,hyphenated,6_Q2,26,26,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,6,Compound Words,Healthcare,6_Q1,single_word,6_Q2,43,44,0.9772727272727273,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,6,Compound Words,Healthcare,6_Q3,hyphenated,6_Q2,44,44,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,7,Compound Words,Database,7_Q1,single_word,7_Q2,44,45,0.9777777777777777,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,7,Compound Words,Database,7_Q3,hyphenated,7_Q2,45,45,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,7,Compound Words,Database,7_Q1,single_word,7_Q2,26,27,0.9629629629629629,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,7,Compound Words,Database,7_Q3,hyphenated,7_Q2,27,27,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,7,Compound Words,Database,7_Q1,single_word,7_Q2,44,45,0.9777777777777777,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,7,Compound Words,Database,7_Q3,hyphenated,7_Q2,45,45,1.0,1.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,8,Compound Words,Cryptocurrency,8_Q1,single_word,8_Q2,37,38,0.9736842105263158,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,8,Compound Words,Cryptocurrency,8_Q3,hyphenated,8_Q2,39,38,1.0263157894736843,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,8,Compound Words,Cryptocurrency,8_Q1,single_word,8_Q2,19,20,0.95,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,8,Compound Words,Cryptocurrency,8_Q3,hyphenated,8_Q2,21,20,1.05,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,8,Compound Words,Cryptocurrency,8_Q1,single_word,8_Q2,37,38,0.9736842105263158,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,8,Compound Words,Cryptocurrency,8_Q3,hyphenated,8_Q2,39,38,1.0263157894736843,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,9,Compound Words,Socioeconomic,9_Q1,single_word,9_Q2,42,43,0.9767441860465116,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,9,Compound Words,Socioeconomic,9_Q3,hyphenated,9_Q2,43,43,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,9,Compound Words,Socioeconomic,9_Q1,single_word,9_Q2,24,25,0.96,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,9,Compound Words,Socioeconomic,9_Q3,hyphenated,9_Q2,25,25,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,9,Compound Words,Socioeconomic,9_Q1,single_word,9_Q2,42,43,0.9767441860465116,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,9,Compound Words,Socioeconomic,9_Q3,hyphenated,9_Q2,43,43,1.0,0.0,0.0,0.0
