model,set_id,category,title,variant1,variant2,tokenization1,tokenization2,embedding_similarity,perf_difference
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q5,turkish_agglutinative_complete,english_with_turkish_word,0.89912045,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q6,turkish_agglutinative_complete,english_with_turkish_word_no_diacritics,0.8531283,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q3,turkish_morpheme_split,turkish_no_diacritics,0.91405773,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q4,turkish_morpheme_split,turkish_no_diacritics,0.90361995,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q5,turkish_morpheme_split,english_with_turkish_word,0.83628356,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q6,turkish_morpheme_split,english_with_turkish_word_no_diacritics,0.8147843,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q4,turkish_no_diacritics,turkish_no_diacritics,0.99090976,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.866381,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.89663947,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.86148846,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.89582884,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,13_Q6,english_with_turkish_word,english_with_turkish_word_no_diacritics,0.962827,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q2,turkish_agglutinative_complete,turkish_morpheme_split,0.8233018,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q3,turkish_agglutinative_complete,turkish_no_diacritics,0.89716977,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q4,turkish_agglutinative_complete,turkish_no_diacritics,0.8563291,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q5,turkish_agglutinative_complete,english_with_turkish_word,0.7787568,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q6,turkish_agglutinative_complete,english_with_turkish_word_no_diacritics,0.67848444,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q3,turkish_morpheme_split,turkish_no_diacritics,0.7854937,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q4,turkish_morpheme_split,turkish_no_diacritics,0.7535404,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q5,turkish_morpheme_split,english_with_turkish_word,0.65785414,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q6,turkish_morpheme_split,english_with_turkish_word_no_diacritics,0.6156358,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q4,turkish_no_diacritics,turkish_no_diacritics,0.9601567,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.67883193,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.7526671,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.67755187,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.7543649,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,13_Q6,english_with_turkish_word,english_with_turkish_word_no_diacritics,0.92567295,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q2,turkish_agglutinative_complete,turkish_morpheme_split,0.8880142,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q3,turkish_agglutinative_complete,turkish_no_diacritics,0.9503042,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q4,turkish_agglutinative_complete,turkish_no_diacritics,0.9331314,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q5,turkish_agglutinative_complete,english_with_turkish_word,0.7870319,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q6,turkish_agglutinative_complete,english_with_turkish_word_no_diacritics,0.7340002,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q3,turkish_morpheme_split,turkish_no_diacritics,0.8750801,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q4,turkish_morpheme_split,turkish_no_diacritics,0.8610278,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q5,turkish_morpheme_split,english_with_turkish_word,0.7502819,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,13_Q6,turkish_morpheme_split,english_with_turkish_word_no_diacritics,0.73626095,1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q4,turkish_no_diacritics,turkish_no_diacritics,0.98584634,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.7287169,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.77643746,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q5,turkish_no_diacritics,english_with_turkish_word,0.7282385,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,13_Q6,turkish_no_diacritics,english_with_turkish_word_no_diacritics,0.7794258,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,13_Q6,english_with_turkish_word,english_with_turkish_word_no_diacritics,0.9487925,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q2,basic_question,basic_question,0.983851,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q3,basic_question,french_sentence_standard,0.87030864,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q4,basic_question,french_sentence_ligature,0.86454153,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q3,basic_question,french_sentence_standard,0.8608707,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q4,basic_question,french_sentence_ligature,0.867367,0.0
Qwen/Qwen2.5-7B-Instruct,14,Multi-linguality,Oeufs,14_Q3,14_Q4,french_sentence_standard,french_sentence_ligature,0.9900878,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q2,basic_question,basic_question,0.95128727,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q3,basic_question,french_sentence_standard,0.6938187,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q4,basic_question,french_sentence_ligature,0.6725846,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q3,basic_question,french_sentence_standard,0.66752344,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q4,basic_question,french_sentence_ligature,0.6915013,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,14,Multi-linguality,Oeufs,14_Q3,14_Q4,french_sentence_standard,french_sentence_ligature,0.96342796,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q2,basic_question,basic_question,0.9835278,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q3,basic_question,french_sentence_standard,0.8311894,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q1,14_Q4,basic_question,french_sentence_ligature,0.81905025,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q3,basic_question,french_sentence_standard,0.80633,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q2,14_Q4,basic_question,french_sentence_ligature,0.80680156,0.0
Qwen/Qwen2.5-0.5B-Instruct,14,Multi-linguality,Oeufs,14_Q3,14_Q4,french_sentence_standard,french_sentence_ligature,0.9866566,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q2,english_no_diacritics,english_with_diacritics,0.99028945,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q3,english_no_diacritics,turkish_with_diacritics,0.90078455,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q4,english_no_diacritics,turkish_no_diacritics,0.8728287,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q3,english_with_diacritics,turkish_with_diacritics,0.9055836,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q4,english_with_diacritics,turkish_no_diacritics,0.85921115,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q3,15_Q4,turkish_with_diacritics,turkish_no_diacritics,0.9604104,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q2,english_no_diacritics,english_with_diacritics,0.95989895,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q3,english_no_diacritics,turkish_with_diacritics,0.68871605,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q4,english_no_diacritics,turkish_no_diacritics,0.6880561,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q3,english_with_diacritics,turkish_with_diacritics,0.73736554,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q4,english_with_diacritics,turkish_no_diacritics,0.65991,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q3,15_Q4,turkish_with_diacritics,turkish_no_diacritics,0.81773144,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q2,english_no_diacritics,english_with_diacritics,0.9856874,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q3,english_no_diacritics,turkish_with_diacritics,0.83398527,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q1,15_Q4,english_no_diacritics,turkish_no_diacritics,0.78968626,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q3,english_with_diacritics,turkish_with_diacritics,0.8509808,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q2,15_Q4,english_with_diacritics,turkish_no_diacritics,0.7809528,1.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q3,15_Q4,turkish_with_diacritics,turkish_no_diacritics,0.9271106,1.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q2,german_compound_complete,german_compound_split,0.9209003,0.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q3,german_compound_complete,english_with_german_compound,0.92293346,0.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q2,16_Q3,german_compound_split,english_with_german_compound,0.85304445,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q2,german_compound_complete,german_compound_split,0.8680042,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q3,german_compound_complete,english_with_german_compound,0.82292396,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q2,16_Q3,german_compound_split,english_with_german_compound,0.6776397,1.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q2,german_compound_complete,german_compound_split,0.8730261,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q1,16_Q3,german_compound_complete,english_with_german_compound,0.8537761,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q2,16_Q3,german_compound_split,english_with_german_compound,0.72777057,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q2,simplified_chinese,character_split_chinese,0.73815,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q3,simplified_chinese,pinyin_no_tones,0.72493464,1.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q4,simplified_chinese,pinyin_with_tones,0.64483035,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q3,character_split_chinese,pinyin_no_tones,0.6732652,1.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q4,character_split_chinese,pinyin_with_tones,0.6218467,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,17_Q4,pinyin_no_tones,pinyin_with_tones,0.8588642,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q2,simplified_chinese,character_split_chinese,0.593806,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q3,simplified_chinese,pinyin_no_tones,0.3573624,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q4,simplified_chinese,pinyin_with_tones,0.32547122,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q3,character_split_chinese,pinyin_no_tones,0.3183377,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q4,character_split_chinese,pinyin_with_tones,0.3009014,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,17_Q4,pinyin_no_tones,pinyin_with_tones,0.77020293,0.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q2,simplified_chinese,character_split_chinese,0.63002694,0.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q3,simplified_chinese,pinyin_no_tones,0.5901688,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,17_Q4,simplified_chinese,pinyin_with_tones,0.47304317,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q3,character_split_chinese,pinyin_no_tones,0.51453125,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,17_Q4,character_split_chinese,pinyin_with_tones,0.39982188,1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,17_Q4,pinyin_no_tones,pinyin_with_tones,0.74369806,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q2,arabic_with_diacritics,arabic_without_diacritics,0.46826953,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q3,arabic_with_diacritics,arabic_transliterated,0.46613714,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q4,arabic_with_diacritics,english_translation,0.41378608,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q3,arabic_without_diacritics,arabic_transliterated,0.75841606,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q4,arabic_without_diacritics,english_translation,0.8810208,0.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,18_Q4,arabic_transliterated,english_translation,0.7812812,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q2,arabic_with_diacritics,arabic_without_diacritics,0.40560183,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q3,arabic_with_diacritics,arabic_transliterated,0.3419609,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q4,arabic_with_diacritics,english_translation,0.26412073,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q3,arabic_without_diacritics,arabic_transliterated,0.38258994,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q4,arabic_without_diacritics,english_translation,0.49435088,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,18_Q4,arabic_transliterated,english_translation,0.518598,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q2,arabic_with_diacritics,arabic_without_diacritics,0.36580595,0.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q3,arabic_with_diacritics,arabic_transliterated,0.2530082,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,18_Q4,arabic_with_diacritics,english_translation,0.18240759,0.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q3,arabic_without_diacritics,arabic_transliterated,0.69862956,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,18_Q4,arabic_without_diacritics,english_translation,0.81039846,0.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q3,18_Q4,arabic_transliterated,english_translation,0.758125,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q2,russian_cyrillic,russian_transliterated,0.7573032,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q3,russian_cyrillic,russian_unhyphenated,0.9890842,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q4,russian_cyrillic,english_with_russian_case,0.8156232,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q3,russian_transliterated,russian_unhyphenated,0.7534072,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q4,russian_transliterated,english_with_russian_case,0.79985124,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q3,19_Q4,russian_unhyphenated,english_with_russian_case,0.80228615,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q2,russian_cyrillic,russian_transliterated,0.46672675,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q3,russian_cyrillic,russian_unhyphenated,0.97892994,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q4,russian_cyrillic,english_with_russian_case,0.4751855,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q3,russian_transliterated,russian_unhyphenated,0.470374,1.0
